task_id,Comments,task_generation_config_json,env,domain,l1_category,l2_category,suggested_difficulty,suggested_hint,suggested_max_steps,suggested_split,metadata_json
ticketmaster/theater/lion_king/march_7_matinee/101,added city,"{""_target_"": ""navi_bench.ticketmaster.ticket_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.ticketmaster.com/"", ""task"": ""Find tickets for 'The Lion King (touring)' in Providence, RI on {dateRange} to the 1:00 PM show and check availability."", ""queries"": [[{""event_names"": [""the lion king touring""], ""cities"": [""providence""], ""times"": [""13:00""], ""require_available"": true}]], ""location"": ""United States"", ""timezone"": ""America/Boise"", ""values"": {""dateRange"": ""Saturdays in next month""}}",real,ticketmaster,e_commerce,theater,null,null,null,validation,null
ticketmaster/theater/lion_king/march_7_evening/101,,"{""_target_"": ""navi_bench.ticketmaster.ticket_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.ticketmaster.com/"", ""task"": ""Find tickets for 'The Lion King' in Boise on {dateRange}. Navigate specifically to the 7:00 PM evening show and check availability."", ""queries"": [[{""event_names"": [""lion king""], ""times"": [""19:00""], ""require_available"": true}]], ""location"": ""United States"", ""timezone"": ""America/Boise"", ""values"": {""dateRange"": ""Saturdays in next month""}}",real,ticketmaster,e_commerce,theater,null,null,null,validation,null
ticketmaster/theater/lion_king/qty2_price_range/101,,"{""_target_"": ""navi_bench.ticketmaster.ticket_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.ticketmaster.com/"", ""task"": ""Search for 'The Lion King touring show on {dateRange} and look for exactly 2 tickets priced in the range of $100 and $280."", ""queries"": [[{""event_names"": [""the lion king touring""], ""ticket_quantities"": [2], ""min_price"": 100.0, ""max_price"": 280.0, ""require_available"": true}]], ""location"": ""United States"", ""timezone"": ""America/Boise"", ""values"": {""dateRange"": ""Fridays in next month""}}",real,ticketmaster,e_commerce,theater,null,null,null,validation,null
ticketmaster/theater/lion_king/budget_under_150/101,,"{""_target_"": ""navi_bench.ticketmaster.ticket_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.ticketmaster.com/"", ""task"": ""Look for 'The Lion King' tickets on {dateRange}. Find any available ticket that costs less than $150."", ""queries"": [[{""event_names"": [""lion king""], ""max_price"": 150.0, ""require_available"": true}]], ""location"": ""United States"", ""timezone"": ""America/Boise"", ""values"": {""dateRange"": ""Fridays in next month""}}",real,ticketmaster,e_commerce,theater,null,null,null,validation,null
ticketmaster/theater/lion_king/premium_over_350/101,,"{""_target_"": ""navi_bench.ticketmaster.ticket_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.ticketmaster.com/"", ""task"": ""Search for premium tickets to 'The Lion King' on {dateRange}. Find tickets that are priced over $350."", ""queries"": [[{""event_names"": [""lion king""], ""min_price"": 350.0, ""require_available"": true}]], ""location"": ""United States"", ""timezone"": ""America/Boise"", ""values"": {""dateRange"": ""Fridays in next month""}}",real,ticketmaster,e_commerce,theater,null,null,null,validation,null
ticketmaster/theater/lion_king/row_g/101,,"{""_target_"": ""navi_bench.ticketmaster.ticket_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.ticketmaster.com/"", ""task"": ""Find tickets for 'The Lion King' on {dateRange}. Look for tickets specifically located in Row G."", ""queries"": [[{""event_names"": [""lion king""], ""rows"": [""g""], ""require_available"": true}]], ""location"": ""United States"", ""timezone"": ""America/Boise"", ""values"": {""dateRange"": ""Fridays in next month""}}",real,ticketmaster,e_commerce,theater,null,null,null,validation,null
ticketmaster/theater/lion_king/row_l_pair/101,,"{""_target_"": ""navi_bench.ticketmaster.ticket_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.ticketmaster.com/"", ""task"": ""Find exactly 2 tickets for 'The Lion King' on {dateRange}. Ensure the tickets are located in Row L."", ""queries"": [[{""event_names"": [""lion king""], ""ticket_quantities"": [2], ""rows"": [""l""], ""require_available"": true}]], ""location"": ""United States"", ""timezone"": ""America/Boise"", ""values"": {""dateRange"": ""Fridays in next month""}}",real,ticketmaster,e_commerce,theater,null,null,null,validation,null
ticketmaster/theater/lion_king/row_z/101,,"{""_target_"": ""navi_bench.ticketmaster.ticket_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.ticketmaster.com/"", ""task"": ""Search for tickets to 'Disney Presents The Lion King (Touring)' on {dateRange}. Look for tickets specifically located further back in Row Z."", ""queries"": [[{""event_names"": [""lion king""], ""rows"": [""z""], ""require_available"": true}]], ""location"": ""United States"", ""timezone"": ""America/Boise"", ""values"": {""dateRange"": ""Fridays in next month""}}",real,ticketmaster,e_commerce,theater,null,null,null,validation,null
ticketmaster/theater/lion_king/primary_budget/101,,"{""_target_"": ""navi_bench.ticketmaster.ticket_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.ticketmaster.com/"", ""task"": ""Search for 'Disney Presents The Lion King (Touring)' on {dateRange}. Verify only the standard tickets availability priced under $120."", ""queries"": [[{""event_names"": [""disney presents the lion king (touring)""], ""exclude_resale"": true, ""max_price"": 120.0, ""require_available"": true}]], ""location"": ""United States"", ""timezone"": ""America/Boise"", ""values"": {""dateRange"": ""Fridays in next month""}}",real,ticketmaster,e_commerce,theater,null,null,null,validation,null
ticketmaster/sports/rugby/banshees_season_ticket/101,,"{""_target_"": ""navi_bench.ticketmaster.ticket_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.ticketmaster.com/"", ""task"": ""Search for the 2026 Banshees Season Ticket in Quincy, MA. Navigate to the listing and check ticket availability."", ""queries"": [[{""event_names"": [""banshees season ticket""], ""cities"": [""quincy""], ""require_available"": true}]], ""location"": ""United States"", ""timezone"": ""America/New_York""}",real,ticketmaster,e_commerce,sports,null,null,null,validation,null
ticketmaster/sports/rugby/exiles_vs_breakers/101,What will the event query contain?,"{""_target_"": ""navi_bench.ticketmaster.ticket_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.ticketmaster.com/"", ""task"": ""Find tickets for the New York Exiles vs Bay Breakers match happening in Mt. Vernon on {dateRange}."", ""queries"": [[{""event_names"": [""exiles"", ""bay breakers""], ""cities"": [""mt. vernon""], ""require_available"": true}]], ""location"": ""United States"", ""timezone"": ""America/New_York"", ""values"": {""dateRange"": ""Saturdays in next month""}}",real,ticketmaster,e_commerce,sports,null,null,null,validation,null
ticketmaster/sports/rugby/tempest_vs_banshees_primary/101,"What will the event query contain? 
Resale value is this ok?","{""_target_"": ""navi_bench.ticketmaster.ticket_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.ticketmaster.com/"", ""task"": ""Find only the standard tickets for the Chicago Tempest vs Boston Banshees game in Lisle on {dateRange}."", ""queries"": [[{""event_names"": [""tempest"", ""banshees""], ""cities"": [""lisle""], ""exclude_resale"": true, ""require_available"": true}]], ""location"": ""United States"", ""timezone"": ""America/Chicago"", ""values"": {""dateRange"": ""Sundays in next month""}}",real,ticketmaster,e_commerce,sports,null,null,null,validation,null
ticketmaster/sports/rugby/onyx_vs_exiles/101,What will the event query contain?,"{""_target_"": ""navi_bench.ticketmaster.ticket_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.ticketmaster.com/"", ""task"": ""Look for the Denver Onyx vs NY Exiles match taking place in Denver on {dateRange}. Check availability of tickets."", ""queries"": [[{""event_names"": [""onyx"", ""exiles""], ""cities"": [""denver""], ""require_available"": true}]], ""location"": ""United States"", ""timezone"": ""America/Denver"", ""values"": {""dateRange"": ""Sundays in next month""}}",real,ticketmaster,e_commerce,sports,null,null,null,validation,null
ticketmaster/sports/rugby/gemini_flexible_dates/101,,"{""_target_"": ""navi_bench.ticketmaster.ticket_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.ticketmaster.com/"", ""task"": ""Find a Twin Cities Gemini game in Eagan. Check ticket availability for {dateRange}."", ""queries"": [[{""event_names"": [""twin cities gemini""], ""cities"": [""eagan""], ""require_available"": true}]], ""location"": ""United States"", ""timezone"": ""America/Chicago"", ""values"": {""dateRange"": ""Saturdays in next month""}}",real,ticketmaster,e_commerce,sports,null,null,null,validation,null
ticketmaster/sports/rugby/hounds_budget/101,,"{""_target_"": ""navi_bench.ticketmaster.ticket_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.ticketmaster.com/"", ""task"": ""Search for the Chicago Hounds vs New England Free Jacks match in Nashville on {dateRange}. Find tickets that cost less than $50."", ""queries"": [[{""event_names"": [""chicago hounds"", ""free jacks""], ""cities"": [""nashville""], ""max_price"": 50.0, ""require_available"": true}]], ""location"": ""United States"", ""timezone"": ""America/Chicago"", ""values"": {""dateRange"": ""Sundays in next month""}}",real,ticketmaster,e_commerce,sports,null,null,null,validation,null
ticketmaster/sports/rugby/breakers_sacramento/101,What will the event query contain?,"{""_target_"": ""navi_bench.ticketmaster.ticket_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.ticketmaster.com/"", ""task"": ""Find the Bay Breakers vs Chicago Tempest match on {dateRange}."", ""queries"": [[{""event_names"": [""bay breakers"", ""tempest""], ""require_available"": true}]], ""location"": ""United States"", ""timezone"": ""America/Los_Angeles"", ""values"": {""dateRange"": ""Sundays in next month""}}",real,ticketmaster,e_commerce,sports,null,null,null,validation,null
ticketmaster/sports/rugby/banshees_breakers_4_tickets/101,What will the event query contain?,"{""_target_"": ""navi_bench.ticketmaster.ticket_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.ticketmaster.com/"", ""task"": ""Search for the Boston Banshees vs Bay Breakers game on {dateRange} in Quincy, search for exactly 4 tickets."", ""queries"": [[{""event_names"": [""boston banshees"", ""bay breakers""], ""cities"": [""quincy""], ""ticket_quantities"": [4], ""require_available"": true}]], ""location"": ""United States"", ""timezone"": ""America/New_York"", ""values"": {""dateRange"": ""Sundays in next month""}}",real,ticketmaster,e_commerce,sports,null,null,null,validation,null
ticketmaster/sports/rugby/onyx_season_ticket/101,updated,"{""_target_"": ""navi_bench.ticketmaster.ticket_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.ticketmaster.com/"", ""task"": ""Locate the Denver Onyx tickets and check availability."", ""queries"": [[{""event_names"": [""denver onyx""], ""require_available"": true}]], ""location"": ""United States"", ""timezone"": ""America/Denver""}",real,ticketmaster,e_commerce,sports,null,null,null,validation,null
ticketmaster/sports/boxing/brick_city_group_budget/101,,"{""_target_"": ""navi_bench.ticketmaster.ticket_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.ticketmaster.com/"", ""task"": ""Search for the Brick City Fight Night Series happening on {dateRange} for exactly 8 tickets priced between minimum $100 and maximum $270."", ""queries"": [[{""event_names"": [""brick city fight night""], ""ticket_quantities"": [8], ""min_price"": 100.0, ""max_price"": 270.0, ""require_available"": true}]], ""location"": ""United States"", ""timezone"": ""America/New_York"", ""values"": {""dateRange"": ""Fridays in next month""}}",real,ticketmaster,e_commerce,sports,null,null,null,validation,null
ticketmaster/sports/boxing/brick_city_row_6/101,,"{""_target_"": ""navi_bench.ticketmaster.ticket_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.ticketmaster.com/"", ""task"": ""Look for tickets to the Brick City Fight Night Series on {dateRange}. Check if there are any tickets available exactly in Row 6."", ""queries"": [[{""event_names"": [""brick city fight night""], ""rows"": [""6""], ""require_available"": true}]], ""location"": ""United States"", ""timezone"": ""America/New_York"", ""values"": {""dateRange"": ""Fridays in next month""}}",real,ticketmaster,e_commerce,sports,null,null,null,validation,null
ticketmaster/sports/boxing/matchroom_orlando/101,,"{""_target_"": ""navi_bench.ticketmaster.ticket_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.ticketmaster.com/"", ""task"": ""Search for the Matchroom Boxing event featuring Adames vs Williams. Navigate specifically to the event happening in Orlando on {dateRange} at 6:00 PM."", ""queries"": [[{""event_names"": [""matchroom boxing"", ""adames v williams""], ""cities"": [""orlando""], ""times"": [""18:00""], ""require_available"": true}]], ""location"": ""United States"", ""timezone"": ""America/New_York"", ""values"": {""dateRange"": ""Saturdays in next month""}}",real,ticketmaster,e_commerce,sports,null,null,null,validation,null
ticketmaster/sports/boxing/thursday_night_anchorage/101,,"{""_target_"": ""navi_bench.ticketmaster.ticket_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.ticketmaster.com/"", ""task"": ""Find tickets for 'Thursday Night At The Fights' in Anchorage, AK. Find the event happening on {dateRange}, not earlier in the month."", ""queries"": [[{""event_names"": [""thursday night at the fights""], ""cities"": [""anchorage""], ""require_available"": true}]], ""location"": ""United States"", ""timezone"": ""America/Anchorage"", ""values"": {""dateRange"": ""Thursdays in next month""}}",real,ticketmaster,e_commerce,sports,null,null,null,validation,null
ticketmaster/sports/boxing/boxing_insider_atlantic_city/101,ticket type to be added,"{""_target_"": ""navi_bench.ticketmaster.ticket_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.ticketmaster.com/"", ""task"": ""Search for the 'Boxing Insider: Live Professional Boxing' event in Atlantic City on {dateRange}. Look at the standard event tickets."", ""queries"": [[{""event_names"": [""boxing insider: live professional boxing""], ""cities"": [""atlantic city""], ""require_available"": true}]], ""location"": ""United States"", ""timezone"": ""America/New_York"", ""values"": {""dateRange"": ""Saturdays in next month""}}",real,ticketmaster,e_commerce,sports,null,null,null,validation,null
ticketmaster/sports/boxing/down_for_the_count_san_antonio/101,,"{""_target_"": ""navi_bench.ticketmaster.ticket_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.ticketmaster.com/"", ""task"": ""Search for the 'Down For The Count' boxing event happening at Sam's Burger Joint in San Antonio, TX on {dateRange}."", ""queries"": [[{""event_names"": [""down for the count""], ""cities"": [""san antonio""], ""venues"": [""sam's burger joint""], ""require_available"": true}]], ""location"": ""United States"", ""timezone"": ""America/Chicago"", ""values"": {""dateRange"": ""Fridays in next month""}}",real,ticketmaster,e_commerce,sports,null,null,null,validation,null
ticketmaster/sports/boxing/foxwoods_bare_knuckle/101,,"{""_target_"": ""navi_bench.ticketmaster.ticket_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.ticketmaster.com/"", ""task"": ""Find tickets for the Foxwoods Fight Night - Bare Knuckle Boxing 52 event in Mashantucket, CT on {dateRange}."", ""queries"": [[{""event_names"": [""foxwoods fight night"", ""bare knuckle boxing 52""], ""cities"": [""mashantucket""], ""require_available"": true}]], ""location"": ""United States"", ""timezone"": ""America/New_York"", ""values"": {""dateRange"": ""Saturdays in next month""}}",real,ticketmaster,e_commerce,sports,null,null,null,validation,null
ticketmaster/sports/boxing/fdny_battle_of_badges/101,,"{""_target_"": ""navi_bench.ticketmaster.ticket_info_gathering.generate_task_config_deterministic"", ""mode"": ""any"", ""url"": ""https://www.ticketmaster.com/"", ""task"": ""Search for the FDNY Bravest Boxing International Battle Of The Badges event happening in New York on {dateRange}."", ""queries"": [[{""event_names"": [""fdny bravest boxing"", ""battle of the badges""], ""cities"": [""new york""], ""require_available"": true}]], ""location"": ""United States"", ""timezone"": ""America/New_York"", ""values"": {""dateRange"": ""Fridays in next month""}}",real,ticketmaster,e_commerce,sports,null,null,null,validation,null
